"Player","Team","Position","Goals","Total Assists","Total Points","GP"
"Zdeno Chara","WSH","D",2,2,4,12
"Joe Thornton","TOR","C",1,1,2,5
"Patrick Marleau","S.J","C",0,2,2,12
"Jason Spezza","TOR","C",4,4,8,13
"Mikko Koivu","CBJ","C",1,1,2,7
"Valtteri Filppula","DET","C",1,0,1,11
"Frans Nielsen","DET","C",0,2,2,13
"Duncan Keith","CHI","D",0,5,5,15
"Eric Staal","BUF","C",3,2,5,10
"Ryan Suter","MIN","D",0,6,6,11
"Braydon Coburn","OTT","D",0,1,1,8
"Jeff Carter","L.A","C",2,5,7,13
"Dustin Brown","L.A","R",6,6,12,13
"Zach Parise","MIN","L",2,3,5,11
"Ryan Getzlaf","ANA","C",1,5,6,13
"Brent Burns","S.J","D",3,4,7,12
"Corey Perry","MTL","R",1,2,3,8
"Loui Eriksson","VAN","L",0,0,0,1
"Patrice Bergeron","BOS","C",6,10,16,13
"Shea Weber","MTL","D",2,5,7,14
"David Backes","ANA","R",1,0,1,7
"Brad Richardson","NSH","R",1,1,2,8
"Nate Thompson","WPG","C",0,0,0,4
"Joe Pavelski","DAL","C",8,8,16,11
"Mark Giordano","CGY","D",2,5,7,13
"Alex Ovechkin","WSH","L",5,7,12,8
"Evgeni Malkin","PIT","C",3,4,7,12
"Blake Wheeler","WPG","R",4,8,12,13
"Alexander Radulov","DAL","R",3,8,11,8
"Travis Zajac","N.J","C",2,0,2,7
"Blake Comeau","DAL","L",0,2,2,7
"Carl Soderberg","CHI","C",0,1,1,10
"Alex Goligoski","ARI","D",0,1,1,13
"David Krejci","BOS","C",0,10,10,13
"Andrej Sekera","DAL","D",0,0,0,6
"Alexander Edler","VAN","D",0,4,4,16
"Paul Stastny","WPG","C",3,5,8,13
"Sidney Crosby","PIT","C",4,6,10,12
"Bobby Ryan","DET","R",4,4,8,14
"Jack Johnson","NYR","D",0,0,0,5
"Anze Kopitar","L.A","C",4,13,17,13
"Marc Staal","DET","D",2,2,4,15
"T.J. Oshie","WSH","R",2,5,7,11
"Andrew Cogliano","DAL","C",2,1,3,11
"James Neal","EDM","L",2,1,3,9
"Marc-Edouard Vlasic","S.J","D",0,1,1,12
"Kris Letang","PIT","D",0,5,5,11
"Kris Russell","EDM","D",0,1,1,9
"Keith Yandle","FLA","D",2,6,8,11
"Niklas Hjalmarsson","ARI","D",0,0,0,13
"Darren Helm","DET","L",0,0,0,9
"Nathan Gerbe","CBJ","C",0,1,1,1
"Ryan Reaves","VGK","R",0,1,1,11
"Anton Stralman","FLA","D",0,3,3,11
"Patric Hornqvist","FLA","R",6,5,11,11
"Andy Greene","NYI","D",0,0,0,12
"Alex Biega","DET","D",0,0,0,1
"Brad Marchand","BOS","C, L",8,8,16,13
"Nick Foligno","CBJ","L",4,4,8,15
"Erik Johnson","COL","D",0,1,1,4
"Kyle Okposo","BUF","R",0,0,0,5
"Trevor Lewis","WPG","C",1,2,3,13
"Leo Komarov","NYI","R",0,0,0,6
"Milan Lucic","CGY","L",3,3,6,13
"Cal Clutterbuck","NYI","R",1,4,5,12
"Jeff Petry","MTL","D",6,8,14,14
"Claude Giroux","PHI","C",1,10,11,13
"Jordan Staal","CAR","C",3,8,11,9
"Derick Brassard","ARI","C",1,4,5,13
"Phil Kessel","ARI","R",4,4,8,13
"Nicklas Backstrom","WSH","C",6,11,17,12
"Artem Anisimov","OTT","C",0,1,1,4
"Mathieu Perreault","WPG","L",2,4,6,13
"Alex Killorn","T.B","L",2,5,7,12
"Jamie Benn","DAL","L",3,3,6,7
"Nick Bonino","MIN","C",1,1,2,11
"Ian Cole","COL, MIN","D",0,1,1,10
"Justin Braun","PHI","D",0,1,1,13
"Kevin Shattenkirk","ANA","D",0,4,4,15
"Pat Maroon","T.B","L",1,2,3,12
"James van Riemsdyk","PHI","L",7,11,18,13
"Paul Byron","MTL","L",0,3,3,13
"Sam Gagner","DET","C",0,1,1,9
"Logan Couture","S.J","C",6,5,11,12
"P.K. Subban","N.J","D",0,3,3,9
"Riley Nash","CBJ","C",1,1,2,14
"Kyle Turris","EDM","C",1,2,3,16
"Brendan Smith","NYR","D",0,1,1,6
