"Player","Manager"
"Connor McDavid","Jake"
"Mika Zibanejad","Jake"
"John Tavares","Jake"
"Taylor Hall","Jake"
"Ryan Nugent-Hopkins","Jake"
"William Nylander","Jake"
"Nicklas Backstrom","Jake"
"Sean Monahan","Jake"
"Evander Kane","Jake"
"Jakub Vrana","Jake"
"Jake DeBrusk","Jake"
"Erik Karlsson","Jake"
"Oliver Bjorkstrand","Jake"
"Brendan Gallagher","Jake"
"Dominik Kubalik","Jake"
"James van Riemsdyk","Jake"
"Bryan Rust","Jake"
"Jaccob Slavin","Jake"
"Jakob Silfverberg","Jake"
"Jordan Staal","Jake"
"Nathan MacKinnon","Payton"
"Alex Ovechkin","Payton"
"Brad Marchand","Payton"
"Victor Hedman","Payton"
"Cale Makar","Payton"
"Gabriel Landeskog","Payton"
"Jake Guentzel","Payton"
"Dougie Hamilton","Payton"
"Roman Josi","Payton"
"Max Pacioretty","Payton"
"Brady Tkachuk","Payton"
"Brayden Schenn","Payton"
"Alex Pietrangelo","Payton"
"Torey Krug","Payton"
"Tom Wilson","Payton"
"Seth Jones","Payton"
"David Krejci","Payton"
"Vincent Trocheck","Payton"
"Shea Weber","Payton"
"Chris Kreider","Payton"
"Auston Matthews","Matt"
"Sebastian Aho","Matt"
"Andrei Svechnikov","Matt"
"John Carlson","Matt"
"Matthew Tkachuk","Matt"
"Morgan Rielly","Matt"
"Pierre-Luc Dubois","Matt"
"Dylan Larkin","Matt"
"Logan Couture","Matt"
"Alex DeBrincat","Matt"
"Miro Heiskanen","Matt"
"Alexander Radulov","Matt"
"Kirill Kaprizov","Matt"
"Jack Hughes","Matt"
"Clayton Keller","Matt"
"Nikolaj Ehlers","Matt"
"Zach Parise","Matt"
"Kris Letang","Matt"
"Charlie McAvoy","Matt"
"Jason Zucker","Matt"
"Leon Draisaitl","Connor"
"Brayden Point","Connor"
"Mikko Rantanen","Connor"
"Johnny Gaudreau","Connor"
"Teuvo Teravainen","Connor"
"Sean Couturier","Connor"
"Mark Stone","Connor"
"Mathew Barzal","Connor"
"David Pastrnak","Connor"
"Brock Boeser","Connor"
"Jamie Benn","Connor"
"Anthony Mantha","Connor"
"Andre Burakovsky","Connor"
"Jonathan Marchessault","Connor"
"Cam Atkinson","Connor"
"Alex Killorn","Connor"
"Denis Gurianov","Connor"
"Kevin Hayes","Connor"
"Viktor Arvidsson","Connor"
"Thomas Chabot","Connor"
"Artemi Panarin","Sam"
"Jack Eichel","Sam"
"Mark Scheifele","Sam"
"Patrice Bergeron","Sam"
"Quinn Hughes","Sam"
"Anze Kopitar","Sam"
"Evgeny Kuznetsov","Sam"
"Elias Lindholm","Sam"
"T.J. Oshie","Sam"
"Victor Olofsson","Sam"
"Tomas Hertl","Sam"
"Nazem Kadri","Sam"
"Ryan Strome","Sam"
"Shea Theodore","Sam"
"Brock Nelson","Sam"
"Adam Henrique","Sam"
"Ivan Provorov","Sam"
"Alexander Edler","Sam"
"Jeff Petry","Sam"
"Kaapo Kakko","Sam"
"Patrick Kane","Eric"
"Sidney Crosby","Eric"
"Jonathan Huberdeau","Eric"
"Aleksander Barkov","Eric"
"Blake Wheeler","Eric"
"Kyle Connor","Eric"
"Claude Giroux","Eric"
"J.T. Miller","Eric"
"Ryan O'Reilly","Eric"
"Mike Hoffman","Eric"
"Brent Burns","Eric"
"Travis Konecny","Eric"
"David Perron","Eric"
"John Klingberg","Eric"
"Tomas Tatar","Eric"
"Sam Reinhart","Eric"
"William Karlsson","Eric"
"Phil Kessel","Eric"
"Timo Meier","Eric"
"Eric Staal","Eric"
"Steven Stamkos","Brett"
"Mitchell Marner","Brett"
"Evgeni Malkin","Brett"
"Elias Pettersson","Brett"
"Patrik Laine","Brett"
"Alexis Lafreniere","Brett"
"Bo Horvat","Brett"
"Kevin Fiala","Brett"
"Filip Forsberg","Brett"
"Jakub Voracek","Brett"
"Nick Suzuki","Brett"
"Ondrej Palat","Brett"
"Conor Garland","Brett"
"Max Domi","Brett"
"Reilly Smith","Brett"
"Kyle Palmieri","Brett"
"Pavel Buchnevich","Brett"
"Tyler Toffoli","Brett"
"Patric Hornqvist","Brett"
"Joe Pavelski","Brett"
